Designator,Mid X,Mid Y,Rotation,Layer
U303,194.31,-87.63,0.0,bottom
U304,194.31,-102.87,0.0,bottom
U305,194.31,-118.11,0.0,bottom
U306,194.31,-133.35,0.0,bottom
U307,194.31,-148.59,0.0,bottom
U308,181.61,-148.59,270.0,bottom
U401,224.79,-57.15,0.0,bottom
U402,224.79,-72.39,0.0,bottom
U403,224.79,-87.63,0.0,bottom
U404,224.79,-102.87,0.0,bottom
U405,224.79,-118.11,0.0,bottom
U406,224.79,-133.35,0.0,bottom
U407,224.79,-148.59,0.0,bottom
U408,212.09,-148.59,270.0,bottom
